"Estacion","Fecha","Temp_max","Temp_min","Cantidad_ml"
"10,131","01/01/2010 ",32,16,NA
"10,131","02/01/2010 ",34,19,2
"10,131","03/01/2010 ",35,20,0
"10,131","04/01/2010 ",35,19,NA
"10,131","05/01/2010 ",35,25,8
"10,131","06/01/2010 ",28,16,NA
"10,131","07/01/2010 ",32,13,NA
"10,131","08/01/2010 ",33,16,NA
"10,131","09/01/2010 ",35,20,NA
"10,131","10/01/2010 ",32,21,NA
"10,131","11/01/2010 ",38,20,NA
"10,131","12/01/2010 ",34,15,NA
"10,131","13/01/2010 ",NA,14,NA
"10,131","14/01/2010 ",NA,18,NA
"10,131","15/01/2010 ",NA,17,NA
"10,131","16/01/2010 ",NA,21,NA
"10,131","17/01/2010 ",NA,22,NA
"10,131","18/01/2010 ",NA,19,NA
"10,131","19/01/2010 ",NA,20,NA
"10,131","20/01/2010 ",NA,21,NA
"10,131","21/01/2010 ",NA,22,NA
"10,131","22/01/2010 ",NA,24,NA
"10,131","23/01/2010 ",NA,22,NA
"10,131","24/01/2010 ",NA,21,NA
"10,131","25/01/2010 ",NA,22,NA
"10,131","26/01/2010 ",NA,22,NA
"10,131","27/01/2010 ",NA,22,NA
"10,131","28/01/2010 ",NA,22,NA
"10,131","29/01/2010 ",NA,24,NA
"10,131","30/01/2010 ",NA,20,NA
"10,131","31/01/2010 ",NA,18,NA
"10,131","01/02/2010 ",NA,18,NA
"10,131","02/02/2010 ",NA,24,NA
"10,131","03/02/2010 ",NA,22,NA
"10,131","04/02/2010 ",NA,18,NA
"10,131","05/02/2010 ",NA,19,0
"10,131","06/02/2010 ",NA,18,NA
"10,131","07/02/2010 ",NA,22,NA
"10,131","08/02/2010 ",NA,22,NA
"10,131","09/02/2010 ",NA,21,0.2
"10,131","10/02/2010 ",NA,22,NA
"10,131","11/02/2010 ",NA,17,NA
"10,131","12/02/2010 ",NA,22,NA
"10,131","13/02/2010 ",NA,24,NA
"10,131","14/02/2010 ",NA,17,0
"10,131","15/02/2010 ",NA,19,NA
"10,131","16/02/2010 ",NA,18,NA
"10,131","17/02/2010 ",NA,20,NA
"10,131","18/02/2010 ",NA,18,NA
"10,131","19/02/2010 ",NA,22,NA
"10,131","20/02/2010 ",NA,20,NA
"10,131","21/02/2010 ",NA,20,NA
"10,131","22/02/2010 ",NA,20,NA
"10,131","23/02/2010 ",NA,20,NA
"10,131","24/02/2010 ",NA,19,NA
"10,131","25/02/2010 ",NA,16,NA
"10,131","26/02/2010 ",NA,17,NA
"10,131","27/02/2010 ",NA,15,NA
"10,131","28/02/2010 ",NA,17,NA
"10,131","01/03/2010 ",NA,17,NA
"10,131","02/03/2010 ",NA,19,NA
"10,131","03/03/2010 ",NA,17,NA
"10,131","04/03/2010 ",NA,18,NA
"10,131","05/03/2010 ",NA,19,NA
"10,131","06/03/2010 ",NA,20,NA
"10,131","07/03/2010 ",NA,23,NA
"10,131","08/03/2010 ",NA,19,NA
"10,131","09/03/2010 ",NA,18,NA
"10,131","10/03/2010 ",NA,13,NA
"10,131","11/03/2010 ",NA,17,0.2
"10,131","12/03/2010 ",NA,17,NA
"10,131","13/03/2010 ",NA,16,NA
"10,131","14/03/2010 ",NA,20,NA
"10,131","15/03/2010 ",NA,17,NA
"10,131","16/03/2010 ",NA,18,NA
"10,131","17/03/2010 ",NA,16,NA
"10,131","18/03/2010 ",NA,20,1.1
"10,131","19/03/2010 ",NA,19,1.5
"10,131","20/03/2010 ",NA,18,NA
"10,131","21/03/2010 ",NA,19,NA
"10,131","22/03/2010 ",NA,14,NA
"10,131","23/03/2010 ",NA,13,NA
"10,131","24/03/2010 ",NA,15,NA
"10,131","25/03/2010 ",NA,17,NA
"10,131","26/03/2010 ",NA,17,NA
"10,131","27/03/2010 ",NA,18,NA
"10,131","28/03/2010 ",NA,18,NA
"10,131","29/03/2010 ",NA,18,NA
"10,131","30/03/2010 ",NA,20,NA
"10,131","31/03/2010 ",NA,20,NA
"10,131","01/04/2010 ",NA,17,NA
"10,131","02/04/2010 ",NA,12,NA
"10,131","03/04/2010 ",NA,15,NA
"10,131","04/04/2010 ",NA,10,NA
"10,131","05/04/2010 ",NA,7,NA
"10,131","06/04/2010 ",NA,10,NA
"10,131","07/04/2010 ",NA,10,NA
"10,131","08/04/2010 ",NA,11,NA
"10,131","09/04/2010 ",NA,12,NA
"10,131","10/04/2010 ",NA,11,NA
"10,131","11/04/2010 ",NA,13,NA
"10,131","12/04/2010 ",NA,16,1
"10,131","13/04/2010 ",NA,11,NA
"10,131","14/04/2010 ",NA,6,NA
"10,131","15/04/2010 ",NA,4,NA
"10,131","16/04/2010 ",NA,8,NA
"10,131","17/04/2010 ",NA,9,NA
"10,131","18/04/2010 ",NA,10,NA
"10,131","19/04/2010 ",NA,11,NA
"10,131","20/04/2010 ",NA,14,0
"10,131","21/04/2010 ",NA,6,NA
"10,131","22/04/2010 ",NA,0,NA
"10,131","23/04/2010 ",NA,6,NA
"10,131","24/04/2010 ",NA,10,NA
"10,131","25/04/2010 ",NA,5,NA
"10,131","26/04/2010 ",NA,5,NA
"10,131","27/04/2010 ",NA,7,NA
"10,131","28/04/2010 ",NA,8,NA
"10,131","29/04/2010 ",NA,7,NA
"10,131","30/04/2010 ",NA,8,NA
"10,131","01/05/2010 ",NA,9,NA
"10,131","02/05/2010 ",NA,15,NA
"10,131","03/05/2010 ",NA,13,NA
"10,131","04/05/2010 ",NA,8,NA
"10,131","05/05/2010 ",NA,7,NA
"10,131","06/05/2010 ",NA,10,NA
"10,131","07/05/2010 ",NA,5,NA
"10,131","08/05/2010 ",NA,4,NA
"10,131","09/05/2010 ",NA,5,NA
"10,131","10/05/2010 ",NA,5,NA
"10,131","11/05/2010 ",NA,6,NA
"10,131","12/05/2010 ",NA,5,NA
"10,131","13/05/2010 ",NA,5,NA
"10,131","14/05/2010 ",NA,7,0.3
"10,131","15/05/2010 ",NA,4,3.3
"10,131","16/05/2010 ",NA,3,NA
"10,131","17/05/2010 ",NA,0,NA
"10,131","18/05/2010 ",NA,2,NA
"10,131","19/05/2010 ",NA,5,NA
"10,131","20/05/2010 ",NA,5,NA
"10,131","21/05/2010 ",NA,5,NA
"10,131","22/05/2010 ",NA,6,10.2
"10,131","23/05/2010 ",NA,4,NA
"10,131","24/05/2010 ",NA,1,NA
"10,131","25/05/2010 ",NA,2,NA
"10,131","26/05/2010 ",NA,5,0.2
"10,131","27/05/2010 ",NA,6,0
"10,131","28/05/2010 ",NA,8,0.5
"10,131","29/05/2010 ",NA,9,NA
"10,131","30/05/2010 ",NA,4,NA
"10,131","31/05/2010 ",NA,5,NA
"10,131","01/06/2010 ",NA,4,NA
"10,131","02/06/2010 ",NA,2,NA
"10,131","03/06/2010 ",NA,4,NA
"10,131","04/06/2010 ",NA,1,NA
"10,131","05/06/2010 ",NA,2,NA
"10,131","06/06/2010 ",NA,2,NA
"10,131","07/06/2010 ",NA,4,NA
"10,131","08/06/2010 ",NA,3,NA
"10,131","09/06/2010 ",NA,8,0
"10,131","10/06/2010 ",NA,8,NA
"10,131","11/06/2010 ",NA,6,NA
"10,131","12/06/2010 ",NA,1,NA
"10,131","13/06/2010 ",NA,1,NA
"10,131","14/06/2010 ",NA,3,NA
"10,131","15/06/2010 ",NA,2,NA
"10,131","16/06/2010 ",NA,1,NA
"10,131","17/06/2010 ",NA,8,NA
"10,131","18/06/2010 ",NA,3,NA
"10,131","19/06/2010 ",NA,-3,NA
"10,131","20/06/2010 ",NA,-2,NA
"10,131","21/06/2010 ",NA,0,NA
"10,131","22/06/2010 ",NA,2,NA
"10,131","23/06/2010 ",NA,2,NA
"10,131","24/06/2010 ",NA,5,NA
"10,131","25/06/2010 ",NA,2,NA
